24875,DUQUE DE LIRIA FRENTE PALACIO,334,66800.0,4475377.50,439549.80
1881,AV DE ANDALUCIA 19 C2,331,66200.0,4468726.53,441073.42
1320,AV ANDALUCIA METRO S.CRISTOBAL,328,65600.0,4466098.35,441264.06
26859,JOSE ABASCAL - SANTA ENGRACIA,326,65200.0,4476875.00,440671.00
1885,AV DE ARCENTALES 37 ACERA PAR,324,64800.0,4476095.85,448813.17
3842,C ACONCAGUA 1,322,64180.0,4479993.54,446501.12
28529,N001 AV JUAN DE HERRERA,320,48600.0,NaN,NaN
3928,C FUENTE CARRANTONA 61,307,61290.0,4473526.19,446572.09
27581,"M-30 XC K 19,06 CR1",301,30100.0,NaN,NaN
28535,N128 JOSEFA VALCARCEL,299,47100.0,NaN,NaN
25263,F060 AV MAYORAZGO,298,33300.0,NaN,NaN
27599,M30PK11.500L INT C2,298,59600.0,4470993.51,442198.24
27573,"M-30 C-2 KM 7,800 CR-CRAL",296,30000.0,NaN,NaN
1891,AV DE ENTREVIAS 80 ACERA IMPAR,289,57800.0,4470080.41,443477.39
37,A42PK5.750 ENT C2,287,57070.0,4469061.00,438863.81
1902,AV DE LOS POBLADOS 169,286,57200.0,4469292.19,439955.22
27586,M30 PK25.800C INT C1,285,56560.0,4480671.97,436877.16
2356,AV MEDITERRANEO 32,284,56300.0,4473349.72,443017.57
29514,PO CASTELLANA 167,283,56490.0,4479431.48,441560.69
33925,TPZC PZ CASTILLA,281,44700.0,NaN,NaN
1899,AV DE LOS ANDES 31 C1,281,56090.0,4478612.70,447525.48
1908,AV DE LOS ROSALES 38,276,55200.0,4468098.85,441936.07
3862,C ARRASTARIA 16 C1,272,54290.0,4477525.35,450299.73
48,A6PK5.300D ENT C2,259,51580.0,4476164.46,437942.20
4139,CALLE AGUILA 23,259,51800.0,4473389.00,439523.40
25262,F056 AV MAYORAZGO,259,33500.0,NaN,NaN
2383,AV MENENDEZ PELAYO 10,256,18230.0,NaN,NaN
1837,AV CONSEJO DE EUROPA 2 C1,254,50690.0,4478851.64,447708.52
28404,MONFORTE  LEMOS - FINISTERRE,252,50400.0,4481460.37,440583.84
1910,AV DEL PARTENON 10,250,49890.0,4479382.99,447696.97
26813,JOAQUIN COSTA - VELAZQUEZ,250,50000.0,4477326.00,442175.51
2001,AV ENSANCHE DE VALLECAS 41 C1,248,49600.0,4468607.88,448662.71
24129,CMNO DEL BARRIAL 47,247,49400.0,4479357.20,432758.22
196,ALBERTO AGUILERA - B. GRACIAN,246,49200.0,4475938.23,439802.04
1099,AV 25 DE SEPTIEMBRE 1,242,48180.0,4477176.49,447024.37
28789,P. STA M CABEZA - C ANT. LEYVA,239,47800.0,4470821.62,439129.81
3863,C ARRASTARIA 16 C2,232,46400.0,4477525.35,450299.73
3925,C FUENTE CARRANTONA 2,231,46200.0,4471931.17,445751.42
3895,C DEL ARROYO DEL MONTE 133 C1,231,46200.0,4483007.72,438989.44
29585,PO CASTELLANA 259 C1,228,45160.0,4481195.27,441861.02
2739,AV P NERUDA B PALENCIA IMP C2,227,45400.0,4471701.55,445652.49
28530,N002 AV JUAN DE HERRERA,212,26800.0,NaN,NaN
4141,CALLE ANTONIO DE LEYVA 88,212,42400.0,4470819.67,439110.36
1907,AV DE LOS ROSALES 35,211,42200.0,4468279.19,441883.63
1317,AV ANDALUCIA ESQ ALCOCER,209,41800.0,4467147.76,441258.69
4766,CALLE SAN BUENAVENTURA 1,206,41200.0,4473604.00,439377.90
27591,M30PK0.500C INT C2,202,40180.0,4481183.85,442839.64
3936,C GONZALEZ DAVILA 9,202,40400.0,4469496.21,445838.92
1857,AV D ANDALUCIA 50 ACERA IMP C2,201,39980.0,4468156.18,441115.82
47,A6PK5.300D ENT C1,200,39780.0,4476164.46,437942.20
4148,CALLE CALATRAVA 40,199,39800.0,4473541.00,439464.44
26369,HERMANOS GARCIA NOBLEJAS 123,195,38890.0,4474832.37,447053.81
4763,CALLE ROSARIO 7,189,37800.0,4473461.00,439414.53
4722,CALLE LARRA 21,189,37800.0,4475540.00,440578.62
3886,C DE LA RESINA 20,188,37600.0,4465289.07,440490.23
4149,CALLE CAPITAN SALAZAR MTNZ. 1,187,37400.0,4473233.50,439673.16
27570,"M-30 C-1 KM 0,500 CR-CRAL",185,18700.0,NaN,NaN
4767,CALLE SAN NICOLAS 1,182,36400.0,4474100.00,439572.60
1727,AV CARABANCHEL ALTO 51 C2,179,35580.0,4468194.05,435998.44
1284,AV AMERICA - CARTAGENA,168,33600.0,4476937.06,443037.87
3888,C DE RIVAS 2,166,33200.0,4472480.95,449704.99
31174,PROF. MTIN. ALMAGRO BASCH 1,166,13350.0,NaN,NaN
34233,VENTOSA ESQ GRAN VIA SAN FCO,165,33000.0,4478182.60,432313.46
2186,AV LOGROÑO 102 C1,165,32890.0,4479991.09,450721.08
26,A1PK11.850 ENT C1,164,32800.0,4483778.24,444112.04
3913,C ESTACION DE HORTALEZA 13 C1,160,31780.0,4481179.73,444747.68
3270,AV VENTISQUERO D LA CONDESA 45,159,31800.0,4483001.27,439058.11
27604,M30PK19.400C EXT C2,157,31180.0,4475136.77,438020.56
27633,M30PK9.600L EXT C1,157,31400.0,4472550.34,443395.09
1705,AV CANILLEJAS VICALVARO 82 C1,155,31000.0,4474985.24,448121.05
25260,F040 AV ANDALUCIA,150,26700.0,NaN,NaN
27632,M30PK9.200L INT C2,148,29490.0,4473273.48,443593.85
27625,M30PK6.700L EXT C2,147,28850.0,4475314.45,444035.74
4018,C VILLABLANCA 79,145,29000.0,4473009.07,449004.40
25269,F081 PO ERMITA DEL SANTO,145,20100.0,NaN,NaN
27583,M. CORBERA - RICARDO ORTIZ,142,28400.0,4475104.19,444461.78
3119,AV STO DOMINGO CALZADA VS A1,141,28090.0,4483723.55,443944.61
24379,COSTA BRAVA - VENT CONDESA,138,27600.0,4483042.66,439074.38
32153,PZA CAMPILLO MUNDO NUEVO FTE 6,138,27600.0,4473124.50,439800.56
2158,AV ILUSTRACION ESQ BETANZOS,137,27290.0,4481540.00,439719.40
34327,VIA LUSITANA 56 LATERAL IZQDO.,137,27400.0,4470304.90,438406.60
4726,CALLE MARCELO USERA 150,137,27400.0,4470753.70,439525.50
3992,C SAN JENARO 4 ACERA IMPARES,137,27400.0,4466682.47,440216.92
4690,CALLE DON PEDRO 11,135,27000.0,4473694.50,439464.16
1890,AV DE ENTREVIAS 80,134,26800.0,4470052.04,443500.44
3938,C GREGORIO SANCHEZ HERRAEZ 5,133,26380.0,4480793.85,445920.41
4764,CALLE RUIZ 21,133,26600.0,4475608.50,440301.80
4138,CALLE ACUERDO 39,132,26400.0,4475651.00,439954.00
38,A4PK5.300 ENT C2,131,26200.0,4469336.85,442243.64
29405,PLAZA PLATERIA DE MARTINEZ 1,130,26000.0,4473777.50,441141.16
112,AEROPUERTO SALIDA T 1,129,12570.0,NaN,NaN
27603,M30PK19.400C EXT C1,129,25690.0,4475136.77,438020.56
3916,C EUGENIA DE MONTIJO - D BOSCO,127,25400.0,4469717.76,436255.67
5309,CIUDAD BARCELONA - M. PELAYO,127,25400.0,4473046.00,442368.00
3967,C NUESTRA SRA DE VALVERDE 180,125,25000.0,4484000.08,441922.65
27602,M30PK13.200C EXT C3,124,24250.0,4470724.02,441108.37
4011,C VIA CARPETANA 170,123,24490.0,4472218.92,437609.27
1901,AV DE LOS POBLADOS 146,120,24000.0,4469281.86,439955.47
25266,F063 AV LOGROÑO,120,13900.0,NaN,NaN
1613,AV BUENOS AIRES 39,120,24000.0,4470890.18,444579.15
4019,C YEBENES - SEPULVEDA IMPAR C1,119,23800.0,4472284.80,435709.87
32,A3PK5.000 ENT C2,119,23690.0,4472347.43,444980.93
4752,CALLE O'DONNELL 65,118,10620.0,4474723.23,443324.39
2814,AV PESETA - CTRA B. FORTUNA,117,23400.0,4469256.88,435089.95
28254,MENENDEZ PELAYO H. NIÑO JESUS,117,23400.0,4474191.88,442633.05
28001,MARQUES DE VADILLO C1,117,23290.0,4472116.92,439271.02
19262,CL PEDRO RICO 4,116,9760.0,NaN,NaN
4023,C. ANGOSTA DE LOS MANCEBOS 6,115,23000.0,4473828.00,439466.53
20751,CL ROSALEDA 2,115,9450.0,NaN,NaN
4017,C VILLABLANCA 60,114,22800.0,4473001.31,448970.65
2197,AV LOGROÑO ESQ JOAQUIN IBARRA,114,22800.0,4479233.06,449801.53
25500,FRANCISCO SILVELA 62,114,22690.0,4476506.58,442840.13
